#TAD name (cmd=getDiffExpression.pl BAP1.tad.scores.txt ctrl ctrl ctrl mut mut mut)	chr1	start1	end1	chr2	start2	end2	color	InclustionRatio(IR)	Length	/expanse/lustre/projects/csd940/ctea/homer/250831_bams/split_bams/tags/ctrl_M1/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/250831_bams/split_bams/tags/ctrl_M2/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/250831_bams/split_bams/tags/ctrl_M3/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/250831_bams/split_bams/tags/mut_M1/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/250831_bams/split_bams/tags/mut_M2/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/250831_bams/split_bams/tags/mut_M3/tagdirs IR	ctrl vs. mut Difference	ctrl vs. mut p-value	ctrl vs. mut adj. p-value
chr14:65862000-65993998	chr14	65862000	65993998	chr14	65862000	65993998	255,255,0	2.036000	131998	2.128633	1.999522	1.946373	1.947499	2.166582	2.020703	0.020085333333333	0.797495651545219	0.913366559056551
chr7:45723000-45812998	chr7	45723000	45812998	chr7	45723000	45812998	255,255,0	2.327000	89998	2.460941	2.265306	2.298577	2.530679	2.640633	2.446851	0.197779666666666	0.0340233487740976	0.287475059658266
chr14:76479000-77024998	chr14	76479000	77024998	chr14	76479000	77024998	255,255,0	3.945000	545998	3.945066	3.853358	3.665196	4.032693	4.067747	3.754216	0.130345333333333	0.266050885250562	0.567413602921738
chr16:31083000-31421998	chr16	31083000	31421998	chr16	31083000	31421998	255,255,0	2.433000	338998	2.344633	2.364877	2.187667	2.432791	2.519389	2.412489	0.155830666666666	0.0435150360105802	0.302894015835604
chr8:13548000-13760998	chr8	13548000	13760998	chr8	13548000	13760998	255,255,0	2.318000	212998	2.409343	2.430160	2.317536	2.351175	2.480964	2.282066	-0.0142780000000002	0.830975170899393	0.929276083200856
chr7:128229000-128744998	chr7	128229000	128744998	chr7	128229000	128744998	255,255,0	2.848000	515998	2.848382	2.684837	2.650541	2.520910	2.681257	2.536987	-0.148202000000001	0.0815005452847604	0.371061949367801
chr5:34167000-34370998	chr5	34167000	34370998	chr5	34167000	34370998	255,255,0	1.713000	203998	1.821457	1.659475	1.624261	1.681838	1.760869	1.704274	0.013929333333333	0.830580895064945	0.929218851587038
chrX:102072000-102122998	chrX	102072000	102122998	chrX	102072000	102122998	255,255,0	1.556000	50998	1.556045	1.355571	1.348248	1.555419	1.646418	1.791979	0.244650666666667	0.0243951857308757	0.257585644426118
chr7:62217000-62387998	chr7	62217000	62387998	chr7	62217000	62387998	255,255,0	2.647000	170998	2.500347	2.541943	2.335529	2.647040	2.714679	2.498747	0.160882333333333	0.0839139530603699	0.371506037050662
chr3:127317000-127451998	chr3	127317000	127451998	chr3	127317000	127451998	255,255,0	2.115000	134998	2.026448	2.092121	1.896753	1.939361	2.094415	1.988292	0.0022486666666664	0.974584552093276	0.993347565747371
chr6:84591000-84923998	chr6	84591000	84923998	chr6	84591000	84923998	255,255,0	1.562000	332998	1.577819	1.591827	1.562347	1.570137	1.613386	1.540071	-0.00279966666666683	0.946954148797829	0.982049367514846
chr6:32322000-32597998	chr6	32322000	32597998	chr6	32322000	32597998	255,255,0	2.591000	275998	2.421321	2.418764	2.308035	2.445513	2.583651	2.407814	0.0962859999999999	0.170957182134925	0.485866924568625
chr17:37080000-37211998	chr17	37080000	37211998	chr17	37080000	37211998	255,255,0	2.183000	131998	2.184294	2.220289	2.120505	2.036061	2.160782	2.183433	-0.0482706666666671	0.418348782518413	0.691517769831834
chrX:157311000-157457998	chrX	157311000	157457998	chrX	157311000	157457998	255,255,0	2.081000	146998	1.789119	1.825356	1.786348	1.907584	2.081122	2.294709	0.294197333333333	0.0192378872034033	0.250565637275708
chr19:9894000-10211998	chr19	9894000	10211998	chr19	9894000	10211998	255,255,0	2.181000	317998	2.297693	2.247040	2.180678	2.342949	2.408291	2.272882	0.0995703333333332	0.112737486930977	0.412498575725736
chr6:137091000-137189998	chr6	137091000	137189998	chr6	137091000	137189998	255,255,0	1.643000	98998	1.679473	1.540348	1.618224	1.649582	1.819286	1.619433	0.0834186666666667	0.264758976166607	0.566902139030031
chr12:116625000-117371998	chr12	116625000	117371998	chr12	116625000	117371998	255,255,0	2.413000	746998	2.556307	2.392892	2.343732	2.555236	2.630846	2.467527	0.120226	0.142660747315242	0.453968445764381
chr18:80265000-80465998	chr18	80265000	80465998	chr18	80265000	80465998	255,255,0	2.637000	200998	2.637357	2.502336	2.350990	2.573816	2.615907	2.437620	0.0455533333333329	0.610973216835265	0.815314194646491
chr13:50193000-50846998	chr13	50193000	50846998	chr13	50193000	50846998	255,255,0	1.635000	653998	1.665037	1.659728	1.617716	1.682194	1.627608	1.634688	0.000669666666666366	0.987282887199252	0.998482262802138
chr10:68145000-68285998	chr10	68145000	68285998	chr10	68145000	68285998	255,255,0	1.673000	140998	1.665651	1.567247	1.549475	1.562412	1.548680	1.524386	-0.0489650000000001	0.332869709603885	0.622492579452755
chr1:182127000-182546998	chr1	182127000	182546998	chr1	182127000	182546998	255,255,0	1.985000	419998	2.113584	2.068460	1.984843	2.002126	2.092623	1.984153	-0.0293283333333335	0.602762586972964	0.809810403031961
chr18:25053000-25127998	chr18	25053000	25127998	chr18	25053000	25127998	255,255,0	2.185000	74998	2.213120	2.313852	2.272955	2.162436	2.427224	2.184696	-0.0085236666666669	0.917319611934025	0.96974164792017
chr15:98937000-98996998	chr15	98937000	98996998	chr15	98937000	98996998	255,255,0	2.500000	59998	2.221003	2.468830	2.333738	2.359850	2.499851	2.282729	0.0396196666666659	0.649604382268894	0.83935638698462
chr12:84645000-84764998	chr12	84645000	84764998	chr12	84645000	84764998	255,255,0	3.008000	119998	2.916760	3.007853	2.767378	2.992536	3.101983	2.822222	0.0749166666666666	0.441901391946597	0.706577643090864
chr9:118581000-118910998	chr9	118581000	118910998	chr9	118581000	118910998	255,255,0	3.082000	329998	2.989501	2.943883	2.900119	3.081710	3.204195	2.891548	0.11465	0.209558441692864	0.516258552641162
chr2:19383000-20828998	chr2	19383000	20828998	chr2	19383000	20828998	255,255,0	2.364000	1445998	2.137706	2.049906	2.019281	2.248368	2.310299	2.196373	0.182715666666667	0.0114130482158279	0.216187747721462
chr6:52926000-52979998	chr6	52926000	52979998	chr6	52926000	52979998	255,255,0	1.613000	53998	1.530981	1.466951	1.469620	1.530736	1.569093	1.412014	0.0147636666666666	0.794285153963363	0.912007610067735
chr15:25797000-25982998	chr15	25797000	25982998	chr15	25797000	25982998	255,255,0	3.001000	185998	2.774763	2.687532	2.613699	3.003695	2.991344	2.814273	0.244439333333333	0.0114553167425412	0.216187747721462
chr11:102885000-103064998	chr11	102885000	103064998	chr11	102885000	103064998	255,255,0	2.022000	179998	1.996448	2.071197	1.997718	2.052786	2.202277	2.005315	0.0650049999999994	0.331815164212754	0.621392365061223
chr1:178467000-179489998	chr1	178467000	179489998	chr1	178467000	179489998	255,255,0	2.755000	1022998	2.750689	2.646828	2.565008	2.722526	2.754528	2.617321	0.0439499999999996	0.517832571878444	0.758129170210486
chr7:62865000-63329998	chr7	62865000	63329998	chr7	62865000	63329998	255,255,0	2.777000	464998	2.777083	2.779688	2.871597	2.978922	3.140285	2.936572	0.209137	0.0164899155551622	0.241556241744317
chr7:45462000-45569998	chr7	45462000	45569998	chr7	45462000	45569998	255,255,0	1.854000	107998	1.846254	1.798073	1.831415	1.836200	1.842390	1.851876	0.018241333333333	0.648155316097265	0.838741526411151
