Coordinate	Sample 1	Sample 2	Sample 3	Consensus_Score	chr	condition	n_replicates
4775000	4.098205830553014	4.032863849831854	3.8183298770560277	4.032863849831854	chr1	control	3
6200000	2.44616346773011	2.1589891663743033	3.175657598694083	2.44616346773011	chr1	control	3
6875000	4.6272372214888895	4.251628352498783	4.517245302511411	4.517245302511411	chr1	control	3
9525000	3.248238010183294	3.199860732291063	3.2566690161741447	3.248238010183294	chr1	control	3
10225000	3.578476139424995	2.963760442146349	2.8458988501633304	2.963760442146349	chr1	control	3
10250000	2.375491625016155	2.866078883248821	3.1655035646731853	2.866078883248821	chr1	control	3
10775000	2.7871947119280325	2.5860336112960147	3.1193357948537868	2.7871947119280325	chr1	control	3
12850000	4.461403931789713	4.306364671578344	3.67075694319	4.306364671578344	chr1	control	3
13375000	5.585593342469844	4.923433510184122	5.068706486726641	5.068706486726641	chr1	control	3
14725000	2.9120453856652415	3.3478984303453445	3.236652440950597	3.236652440950597	chr1	control	3
15275000	3.230018809554799	3.4817594839365804	3.155440672884754	3.230018809554799	chr1	control	3
15625000	3.1927309945480835	2.818599868415944	3.1532724496357996	3.1532724496357996	chr1	control	3
17125000	3.386469387441218	2.9629290786221296	3.0378627248305072	3.0378627248305072	chr1	control	3
17150000	3.0683925934194316	3.489799835642024	3.1534229535553493	3.1534229535553493	chr1	control	3
20525000	3.8458377884032617	2.527606428999248	3.282556732658048	3.282556732658048	chr1	control	3
20800000	3.218148498464276	3.0172240985136556	2.8054189407010246	3.0172240985136556	chr1	control	3
22275000	4.982222489457468	4.944461973202753	5.006709241542567	4.982222489457468	chr1	control	3
22600000	3.694385228425915	4.9000602520009915	4.151250590982529	4.151250590982529	chr1	control	3
23150000	3.8018630354061353	3.209986205086155	3.375902569269761	3.375902569269761	chr1	control	3
23300000	3.017452334180481	2.7989933107020217	3.3695343857283886	3.017452334180481	chr1	control	3
24250000	2.5532817575057467	3.3376269219119097	2.8782257037740737	2.8782257037740737	chr1	control	3
24275000	4.019236908074892	3.448659527983174	3.4327869735467997	3.448659527983174	chr1	control	3
24650000	2.9003581994306953	3.5165068675101945	3.5295294779654585	3.5165068675101945	chr1	control	3
24900000	3.065793549697756	2.8053109164307157	2.8111799310047307	2.8111799310047307	chr1	control	3
25675000	2.0727987695297934	2.3353643169377483	3.532978108139498	2.3353643169377483	chr1	control	3
30950000	4.366338524960968	4.129914602671339	4.483214581425043	4.366338524960968	chr1	control	3
33650000	3.026391309541372	3.0585347484481558	3.104493910083482	3.0585347484481558	chr1	control	3
33975000	2.9130748078049624	3.331772857993491	3.2998652958020473	3.2998652958020473	chr1	control	3
34000000	3.2918825178778413	3.043435961228872	2.9151714467026566	3.043435961228872	chr1	control	3
34200000	2.890697719316142	3.355014245690613	2.938896887379295	2.938896887379295	chr1	control	3
34625000	2.879073879680764	2.987211872945061	3.1055227988128533	2.987211872945061	chr1	control	3
36525000	3.452869418333477	3.2702613336633175	3.404536605250405	3.404536605250405	chr1	control	3
36950000	3.694963849448695	4.61730317681724	4.286345208307253	4.286345208307253	chr1	control	3
37250000	4.838851496570545	4.616029057707835	4.747677048429429	4.747677048429429	chr1	control	3
37650000	4.758734796879445	5.137671663525697	4.968292276855982	4.968292276855982	chr1	control	3
38800000	2.6238572842873595	3.3132397848795856	2.807473653939312	2.807473653939312	chr1	control	3
39025000	6.002977742971422	6.444744893095002	5.804864215088908	6.002977742971422	chr1	control	3
39550000	3.2342884756709056	3.224652380466234	3.3741844352537114	3.2342884756709056	chr1	control	3
40000000	2.6562305461412	2.8658983277003713	3.087825877958843	2.8658983277003713	chr1	control	3
40400000	3.283189820189292	3.127490730285067	3.270788448019652	3.270788448019652	chr1	control	3
43275000	3.5343462661355463	2.918913509956124	3.494278573671779	3.494278573671779	chr1	control	3
43300000	3.074730626734142	3.284020078311584	3.230365490500638	3.230365490500638	chr1	control	3
43750000	4.045220574325082	3.9643486869568916	3.929573013166152	3.9643486869568916	chr1	control	3
45800000	4.63423970199794	4.227682898451822	4.153223036451227	4.227682898451822	chr1	control	3
48550000	3.2949040792611806	2.6733088932644393	2.5265439566622683	2.6733088932644393	chr1	control	3
48925000	3.3901211489046092	2.760452190623777	2.553187055987522	2.760452190623777	chr1	control	3
50925000	3.3550823771974994	1.9629597482605785	2.0967110709437042	2.0967110709437042	chr1	control	3
51625000	3.24648201881103	3.2605186415188725	3.04661771444618	3.24648201881103	chr1	control	3
52300000	3.112492231267011	2.803422107002495	2.9546230025740923	2.9546230025740923	chr1	control	3
52325000	2.4413732125695615	3.2022102701236284	2.772424604011985	2.772424604011985	chr1	control	3
52625000	3.1705741480238854	2.69938867410403	3.2931244100241783	3.1705741480238854	chr1	control	3
52650000	3.314153357419051	3.5416491061443613	3.580189465534457	3.5416491061443613	chr1	control	3
53050000	3.9876215636549825	4.212021115813197	3.6762529115987572	3.9876215636549825	chr1	control	3
54200000	4.229009004987964	4.013334289700669	3.1833918780521158	4.013334289700669	chr1	control	3
55400000	3.4566927042279927	3.3486310971575985	2.5982693512977426	3.3486310971575985	chr1	control	3
55750000	3.2812036764398917	3.340560262362418	2.9436420109110677	3.2812036764398917	chr1	control	3
56750000	3.0166079370255092	2.4007317627490603	2.010914072757114	2.4007317627490603	chr1	control	3
57200000	4.444576812203877	3.656837479895933	3.6511448998852103	3.656837479895933	chr1	control	3
57425000	4.73689870280901	4.939393341379879	4.716064528039	4.73689870280901	chr1	control	3
57950000	3.762086711948543	4.056328079100601	3.913396153341197	3.913396153341197	chr1	control	3
58750000	3.097459927679446	2.7472136230805813	3.6777199769191777	3.097459927679446	chr1	control	3
59300000	3.668208896304469	3.297855133070805	3.837772130282592	3.668208896304469	chr1	control	3
59325000	2.7992452286102485	3.345468970835151	3.3509598678202805	3.345468970835151	chr1	control	3
59475000	5.9958664611778465	5.843610850897307	5.065395259740618	5.843610850897307	chr1	control	3
59500000	3.3675838236336144	2.9793014945331957	4.090032114870403	3.3675838236336144	chr1	control	3
61375000	3.269864807871013	2.6596473408903227	2.4910711060028237	2.6596473408903227	chr1	control	3
62700000	5.681204578962525	5.424663022654045	5.026524525177147	5.424663022654045	chr1	control	3
63175000	4.421616559156406	4.117427800711321	4.212213757097507	4.212213757097507	chr1	control	3
64450000	6.309756169156082	5.885125406468835	5.810885968136352	5.885125406468835	chr1	control	3
65300000	3.2855849028346076	3.0236317915650046	3.3585384607480173	3.2855849028346076	chr1	control	3
66100000	4.051952171189173	4.0761394647310105	4.305455933607188	4.0761394647310105	chr1	control	3
69150000	2.5263916615945465	2.987662918666153	3.2965382630446496	2.987662918666153	chr1	control	3
71525000	2.4780889886547315	3.0356621033180304	2.789707885357608	2.789707885357608	chr1	control	3
72600000	3.6739303730443647	3.0936318082088308	3.2348124291877913	3.2348124291877913	chr1	control	3
72875000	6.2490619317719975	5.99661738898048	6.235414431734067	6.235414431734067	chr1	control	3
73275000	2.684176757490958	3.1359721481709317	2.4923728310683297	2.684176757490958	chr1	control	3
73625000	3.0491116591775675	3.6600124503335736	3.058836562470885	3.058836562470885	chr1	control	3
74125000	3.8760166059241477	2.8134967009123715	3.0114914691008505	3.0114914691008505	chr1	control	3
75325000	4.009601339660406	4.129167990599397	3.7897428553038	4.009601339660406	chr1	control	3
75625000	3.1913188420922993	3.4619412674231946	2.5325799167844867	3.1913188420922993	chr1	control	3
75925000	3.4711107659677483	3.346335620458031	3.1780830166322507	3.346335620458031	chr1	control	3
77525000	3.8945564575212366	4.2957834226948295	4.281313244865744	4.281313244865744	chr1	control	3
80525000	3.7419755649745925	3.585108317273201	3.4295071261475245	3.585108317273201	chr1	control	3
81300000	5.044717574555455	4.847979616195959	4.169862922760262	4.847979616195959	chr1	control	3
82300000	4.443542459959591	4.47993143489383	4.196517955272407	4.443542459959591	chr1	control	3
83400000	3.117083034683911	3.703469634282346	3.3376107700581743	3.3376107700581743	chr1	control	3
83725000	4.156276127515607	4.136667779710557	4.211279620940047	4.156276127515607	chr1	control	3
84700000	5.307230820561939	5.479282479540084	5.058607421266822	5.307230820561939	chr1	control	3
85425000	7.168131046749653	5.881294441079472	5.723139571802506	5.881294441079472	chr1	control	3
85575000	5.674568557690039	5.762299908241821	5.4727683464788095	5.674568557690039	chr1	control	3
87200000	3.3339733202598767	3.548112269784205	3.4782221556796906	3.4782221556796906	chr1	control	3
87750000	4.145691142425006	4.492511466395639	4.8508078985687195	4.492511466395639	chr1	control	3
88750000	4.100336609089266	4.223737213933548	3.8802886840909423	4.100336609089266	chr1	control	3
89200000	4.073540739337274	4.3763431198980145	4.053723304700185	4.073540739337274	chr1	control	3
89225000	3.104228225612948	2.7488412555352872	3.219578290075683	3.104228225612948	chr1	control	3
89650000	2.898190047380544	3.1542932390555904	3.3444344006917803	3.1542932390555904	chr1	control	3
90600000	4.0859764478649305	3.947853702895179	3.7900949757641054	3.947853702895179	chr1	control	3
90975000	4.5312383931766576	4.834649103217361	4.711602761352634	4.711602761352634	chr1	control	3
92175000	3.5438744099987707	3.3019979221272315	3.2264195825374613	3.3019979221272315	chr1	control	3
92200000	3.609705734002411	3.778113268747161	3.7194074322727784	3.7194074322727784	chr1	control	3
93350000	2.7157984901079093	2.8080204134507203	3.3086528462164657	2.8080204134507203	chr1	control	3
94100000	6.020613363895657	6.090133016690529	6.117473771928953	6.090133016690529	chr1	control	3
104975000	3.8362803617835115	4.1686677927152624	3.7838611396584274	3.8362803617835115	chr1	control	3
105650000	4.059003787314927	3.506785843841536	3.9507655229569396	3.9507655229569396	chr1	control	3
106400000	4.4388231629955	4.6604198315481575	4.683343133755487	4.6604198315481575	chr1	control	3
112475000	2.8636177387739856	2.552846318851992	3.018244084567638	2.8636177387739856	chr1	control	3
118300000	4.761051137704438	4.505828048235772	4.751692611943893	4.751692611943893	chr1	control	3
118775000	4.2566706511165116	4.382461748868834	3.9475976275806706	4.2566706511165116	chr1	control	3
119075000	2.8716357919355557	2.8457856582020225	3.205604058175094	2.8716357919355557	chr1	control	3
119100000	3.8434084825023422	3.7366972313500972	3.8336548900485354	3.8336548900485354	chr1	control	3
119950000	3.376814565839446	3.459672254656313	3.4509095218400643	3.4509095218400643	chr1	control	3
120575000	4.525883307283353	4.99831779344387	4.93753641533089	4.93753641533089	chr1	control	3
121425000	3.8584034495226462	3.866565525372755	3.757669131985298	3.8584034495226462	chr1	control	3
124050000	2.28358069771128	3.1903159301869115	2.74306806522883	2.74306806522883	chr1	control	3
125600000	3.6517352350638728	3.385084717552494	3.045547669095363	3.385084717552494	chr1	control	3
127475000	4.632488823552812	4.889585236974116	4.4122968450175035	4.632488823552812	chr1	control	3
127775000	4.34856854969346	3.9362932645282225	3.354879279566393	3.9362932645282225	chr1	control	3
128850000	4.069830926161388	4.190388172230192	4.852742407187244	4.190388172230192	chr1	control	3
131550000	3.4153514595626993	3.3220516594108997	3.6519157575128993	3.4153514595626993	chr1	control	3
133375000	3.1033128882589454	3.063263616898149	3.1000829180694462	3.1000829180694462	chr1	control	3
134125000	3.5661588216111966	4.139747282301305	3.7536649127921113	3.7536649127921113	chr1	control	3
134625000	3.803404062045993	4.532207777802007	3.591470358557007	3.803404062045993	chr1	control	3
135150000	3.5887021985948806	3.1180680734453268	4.285268280941803	3.5887021985948806	chr1	control	3
135700000	5.161442936911074	5.27888557055548	5.140450911270539	5.161442936911074	chr1	control	3
136475000	3.818814862963906	3.8320456833270087	3.8453469847207753	3.8320456833270087	chr1	control	3
137350000	2.728411092978369	2.455503668307156	3.021710767067218	2.728411092978369	chr1	control	3
137575000	3.8329356636582728	4.09508747348007	3.3798527236055107	3.8329356636582728	chr1	control	3
137900000	3.762413899989003	3.2075120768820122	2.9321407054374524	3.2075120768820122	chr1	control	3
144025000	4.095745500167771	3.890431165837031	4.433031090786687	4.095745500167771	chr1	control	3
144400000	4.65831136289282	4.462066247768469	4.508184198972787	4.508184198972787	chr1	control	3
146200000	3.0806040253892064	2.69600425170581	3.252778446026053	3.0806040253892064	chr1	control	3
146500000	2.411829578759883	3.058101883680149	2.6025929011754863	2.6025929011754863	chr1	control	3
151025000	2.7954740129764444	2.6341132081727756	3.0099507738222533	2.7954740129764444	chr1	control	3
152900000	3.5766316601650874	3.2334454136874613	3.294755667914314	3.294755667914314	chr1	control	3
153400000	3.5491877919748243	3.234221727958751	2.777770164903068	3.234221727958751	chr1	control	3
153750000	5.248767493127908	5.007383259472091	4.707973450975446	5.007383259472091	chr1	control	3
154200000	2.9658494502169392	3.0566741381396345	2.5372767170116783	2.9658494502169392	chr1	control	3
154775000	4.351778649305856	4.69973888163254	4.208169855551854	4.351778649305856	chr1	control	3
155550000	4.409998250889716	4.2734623413073285	4.239011524094547	4.2734623413073285	chr1	control	3
155575000	2.9720310943455677	3.0215855451939264	3.0974527864347086	3.0215855451939264	chr1	control	3
156725000	3.9228111290839576	3.9234321917349804	3.884040144014393	3.9228111290839576	chr1	control	3
157075000	3.8461871804064987	3.382875098436543	3.9011292651551024	3.8461871804064987	chr1	control	3
157100000	2.6568646224725536	3.3642125855920284	2.8653693917710132	2.8653693917710132	chr1	control	3
157550000	4.596503190677385	4.6392852576999335	4.2551712330461084	4.596503190677385	chr1	control	3
158950000	2.892092774462247	3.018750480176337	3.321210518339462	3.018750480176337	chr1	control	3
160175000	2.6392148768092083	3.1839528709030596	2.9966972544254067	2.9966972544254067	chr1	control	3
160200000	3.014055884493268	2.9265715153268754	2.8429130925954564	2.9265715153268754	chr1	control	3
160400000	4.287454162930107	4.39896911572729	3.8272985826632513	4.287454162930107	chr1	control	3
161975000	3.0493667261658994	3.4465843039889816	3.378942025084493	3.378942025084493	chr1	control	3
162350000	3.6477377665406596	3.593268414406539	3.5840755880378663	3.593268414406539	chr1	control	3
164900000	3.2104519960565665	3.6741974447579526	3.3505515095533953	3.3505515095533953	chr1	control	3
165750000	3.243764235047226	3.667690623856704	3.2523820812806283	3.2523820812806283	chr1	control	3
165775000	3.5877165569311704	3.1605738805439665	3.357018533722002	3.357018533722002	chr1	control	3
166150000	3.672454616543445	3.56183575399167	3.8548353501890444	3.672454616543445	chr1	control	3
166425000	3.266601663012311	3.835404735141895	3.5718094510930243	3.5718094510930243	chr1	control	3
167200000	4.528728501768112	4.918258326120073	5.19865901069952	4.918258326120073	chr1	control	3
167225000	3.6210177555997194	3.2221726113579026	3.092464421142961	3.2221726113579026	chr1	control	3
167650000	4.05308442179681	3.570364428480458	4.032466670981743	4.032466670981743	chr1	control	3
167925000	3.1250380070988655	2.7050178519397394	2.7687150192248944	2.7687150192248944	chr1	control	3
169925000	4.238905742379028	3.6438037673894184	3.8389445430148537	3.8389445430148537	chr1	control	3
170625000	4.782622813954855	4.943951431267502	4.623198843114661	4.782622813954855	chr1	control	3
170875000	3.54190348613239	3.341157901499341	3.3258932620659105	3.341157901499341	chr1	control	3
172025000	3.174137674697848	2.8015236290824954	2.79574013086727	2.8015236290824954	chr1	control	3
172375000	3.6406645673882854	3.1641488057506972	3.6425353870935457	3.6406645673882854	chr1	control	3
172400000	3.162402088282005	3.3962522430435005	3.1149577122253627	3.162402088282005	chr1	control	3
173300000	3.898801609758417	4.343542418338081	3.6716195205684037	3.898801609758417	chr1	control	3
173850000	1.0874168359134266	-0.7215040270926039	3.010171438300152	1.0874168359134266	chr1	control	3
174100000	3.0046844710526686	1.3942020851403254	2.4987493066506214	2.4987493066506214	chr1	control	3
174450000	3.6655879702526333	3.665242127831342	3.861136421691609	3.6655879702526333	chr1	control	3
175925000	4.213458462770754	4.138251396816854	3.969721713956465	4.138251396816854	chr1	control	3
176225000	4.7066838523993155	4.410288262466029	4.170771962925805	4.410288262466029	chr1	control	3
176700000	4.760939599211189	4.36154607374055	4.5546568136380365	4.5546568136380365	chr1	control	3
176875000	5.754129535435674	5.98843354663076	5.728895014074064	5.754129535435674	chr1	control	3
177450000	6.6031328842652455	5.9535135427566175	6.177866763872556	6.177866763872556	chr1	control	3
177700000	3.9255059842672413	4.160036778254329	3.8943573130060143	3.9255059842672413	chr1	control	3
178125000	3.4826066970124714	3.306536443286306	2.6132407384595187	3.306536443286306	chr1	control	3
179500000	4.120389072322918	4.311690842005077	3.9934361718199582	4.120389072322918	chr1	control	3
179850000	4.052787975014094	2.9277625586076277	3.7689985832076687	3.7689985832076687	chr1	control	3
180425000	5.154299519094145	4.524475344087102	4.537176634637273	4.537176634637273	chr1	control	3
