loop_id	chr1	start1	end1	chr2	start2	end2	coord_string	shift_status	logFC	logCPM	F	PValue	FDR	significant	exploratory	category	direction	plot_color	resolution	resolution_kb	n_resolutions_detected	resolutions_list	is_multi_resolution	FDR_5kb	FDR_10kb	FDR_25kb	logFC_5kb	logFC_10kb	logFC_25kb	kept_from_resolution	n_overlaps	is_merged
loop_1	chr8	110880000	110890000	chr8	110930000	110940000	chr8:110880000-110890000_chr8:110930000-110940000	FALSE	-0.113186101111607	6.79378395233299	5.03692349407087	0.0362910307236519	0.130932346140234	FALSE	FALSE	non_significant	unchanged	NA	10000	10	2	5kb,10kb	TRUE	0.165474201676816	0.130932346140234	NA	-0.149517756444979	-0.113186101111607	NA	10	2	TRUE
loop_2	chr8	110165000	110170000	chr8	110475000	110480000	chr8:110165000-110170000_chr8:110475000-110480000	FALSE	0.11068467076362799	5.46763957685399	1.44805917989002	0.245730876916436	0.502755757839816	FALSE	FALSE	non_significant	unchanged	NA	5000	5	2	5kb,10kb	TRUE	0.502755757839816	0.922178559038547	NA	0.11068467076362799	0.0108901784150914	NA	5	2	TRUE
loop_3	chr8	126025000	126030000	chr8	126060000	126065000	chr8:126025000-126030000_chr8:126060000-126065000	TRUE	-0.130923734310084	6.51272156412749	3.78541408522268	0.0688463931776988	0.246063058254092	FALSE	FALSE	non_significant	unchanged	NA	5000	5	1	5kb	FALSE	0.318852290234928	NA	NA	-0.110860891558675	NA	NA	5	2	TRUE
loop_4	chr8	122610000	122615000	chr8	122675000	122680000	chr8:122610000-122615000_chr8:122675000-122680000	TRUE	-0.0208115743107442	5.83715256728614	0.0638863159199128	0.803560804501743	0.913261938222117	FALSE	FALSE	non_significant	unchanged	NA	5000	5	2	5kb,10kb	TRUE	0.913261938222117	0.967460134433295	NA	-0.0208115743107442	0.00470309551726614	NA	5	2	TRUE
loop_7554	chr8	13550000	13560000	chr8	13750000	13760000	chr8:13550000-13560000_chr8:13750000-13760000	FALSE	0.0523867691506163	6.07653527048401	1.02963602217753	0.322368281242644	0.532309859994419	FALSE	FALSE	non_significant	unchanged	NA	10000	10	2	5kb,10kb	TRUE	0.857688901743905	0.532309859994419	NA	0.0274313153558546	0.0523867691506163	NA	10	2	TRUE
loop_7493	chr8	84420000	84430000	chr8	84480000	84490000	chr8:84420000-84430000_chr8:84480000-84490000	FALSE	-0.0155475775790808	6.77353541581843	0.112564247067128	0.74073874892849	0.85627798453559	FALSE	FALSE	non_significant	unchanged	NA	10000	10	2	5kb,10kb	TRUE	0.93852581477387	0.85627798453559	NA	0.0112648545063639	-0.0155475775790808	NA	10	2	TRUE
loop_7	chr8	122905000	122910000	chr8	122940000	122945000	chr8:122905000-122910000_chr8:122940000-122945000	FALSE	-0.0871430243278675	6.41076384942621	1.51203892513232	0.235982360367666	0.491366206082124	FALSE	FALSE	non_significant	unchanged	NA	5000	5	1	5kb	FALSE	0.625840560767907	NA	NA	-0.0590073653806594	NA	NA	5	2	TRUE
loop_7721	chr8	116920000	116930000	chr8	116980000	116990000	chr8:116920000-116930000_chr8:116980000-116990000	FALSE	0.0326152623169024	5.77325672729439	0.415478984089371	0.526529455395714	0.708382750833183	FALSE	FALSE	non_significant	unchanged	NA	10000	10	2	5kb,10kb	TRUE	0.951544431562279	0.708382750833183	NA	0.0130936738121308	0.0326152623169024	NA	10	2	TRUE
loop_9	chr8	25305000	25310000	chr8	25345000	25350000	chr8:25305000-25310000_chr8:25345000-25350000	FALSE	-0.212682657760317	6.19161874122239	8.41780875285943	0.0101218653928392	0.0774846247313896	FALSE	TRUE	trending	unchanged	NA	5000	5	2	5kb,10kb	TRUE	0.0774846247313896	0.273296218868594	NA	-0.212682657760317	-0.0809234962891358	NA	5	2	TRUE
loop_10	chr8	113870000	113875000	chr8	113980000	113985000	chr8:113870000-113875000_chr8:113980000-113985000	TRUE	-0.291552479069832	5.31496743915051	9.82438517772312	0.00618300429053466	0.0575778265936791	FALSE	TRUE	trending	unchanged	NA	5000	5	1	5kb	FALSE	0.0575778265936791	NA	NA	-0.291552479069832	NA	NA	5	1	FALSE
loop_11	chr8	71910000	71915000	chr8	71985000	71990000	chr8:71910000-71915000_chr8:71985000-71990000	FALSE	-0.10818501734976	5.26381148937073	1.46410217803637	0.243237844396946	0.499978667101799	FALSE	FALSE	non_significant	unchanged	NA	5000	5	1	5kb	FALSE	0.499978667101799	NA	NA	-0.10818501734976	NA	NA	5	1	FALSE
loop_12	chr8	69120000	69125000	chr8	69155000	69160000	chr8:69120000-69125000_chr8:69155000-69160000	FALSE	-0.0731065323110461	6.25925383708087	1.0524822997472	0.319662928441379	0.580867096253929	FALSE	FALSE	non_significant	unchanged	NA	5000	5	1	5kb	FALSE	0.580867096253929	NA	NA	-0.0731065323110461	NA	NA	5	1	FALSE
loop_13	chr8	106685000	106690000	chr8	106885000	106890000	chr8:106685000-106690000_chr8:106885000-106890000	FALSE	-0.145783250163401	5.67945342879625	3.57981679929563	0.0760721536872018	0.260013204258366	FALSE	FALSE	non_significant	unchanged	NA	5000	5	2	5kb,10kb	TRUE	0.260013204258366	0.446461473817133	NA	-0.145783250163401	-0.069055229926812	NA	5	2	TRUE
