chr	start	end	enhancer_class	n_abc_pairs	mean_delta_abc	mean_delta_unnorm	n_gained	n_lost
chr16	31570320	31571071	Activity_Lost	4	-0.02020625	-0.21313675	0	4
chr3	137415388	137415954	Activity_Lost	7	-0.0197618571428571	-0.0820515714285714	0	7
chr4	98546599	98547167	Activity_Lost	6	-0.0206971666666667	-0.0829116666666667	0	6
chr18	64791173	64791489	Activity_Lost	2	-0.0309575	-0.2917725	0	2
chr17	88335969	88336501	Activity_Lost	2	-0.016173	-0.286269	0	2
chr17	88400210	88400777	Activity_Lost	2	-0.03537	-0.6622885	0	2
chr10	108868029	108868639	Activity_Lost	4	-0.02311775	-0.11426575	0	4
chr17	88421322	88421763	Activity_Lost	2	-0.018099	-0.331023	0	2
chr4	98549580	98549779	Activity_Lost	1	-0.02274	-0.080669	0	1
chr10	108867273	108867562	Activity_Lost	1	-0.012626	-0.056855	0	1
chr10	108831926	108832525	Activity_Lost	1	-0.011043	-0.063868	0	1
chr18	39039128	39039846	Activity_Lost	2	-0.02491	-0.019089	0	2
chr9	66733146	66733664	Activity_Lost	3	-0.0382823333333333	-0.281198666666667	0	3
chr1	22987497	22987869	Activity_Lost	1	-0.018656	-0.085469	0	1
chr19	17214754	17215178	Activity_Lost	4	-0.0174485	-0.0850275	0	4
chr17	88401118	88401385	Activity_Lost	2	-0.0224245	-0.4691185	0	2
chr16	37433493	37433876	Activity_Lost	1	-0.024489	-0.240883	0	1
chr6	51849575	51849895	Activity_Lost	12	-0.01704475	-0.046547	0	11
chr16	33940220	33940643	Activity_Lost	2	-0.0326205	-0.271018	0	2
chr4	3692233	3692423	Activity_Lost	1	-0.033335	-0.22739	0	1
chr14	105730841	105731003	Activity_Lost	10	-0.0277608	-0.107582	0	10
chr4	98578225	98578752	Activity_Lost	1	-0.016426	-0.056102	0	1
chr3	123967255	123967694	Activity_Lost	1	-0.017105	-0.00554	0	1
chr2	139362260	139362743	Activity_Lost	1	-0.022639	-0.038118	0	1
chr4	62515621	62515721	Activity_Lost	9	-0.0301571111111111	-0.304033111111111	0	9
chr8	57842982	57843382	Activity_Lost	11	-0.0267734545454545	-0.0337316363636364	0	9
chr18	64873433	64873800	Activity_Lost	1	-0.015815	-0.250238	0	1
chr4	142077924	142078137	Activity_Lost	2	-0.0351155	-0.6226315	0	2
chr11	99280073	99280281	Activity_Lost	3	-0.0405643333333333	-0.422410333333333	0	3
chr18	33562192	33562589	Activity_Lost	2	-0.0155	-0.1871995	0	2
chr12	29533127	29533529	Activity_Lost	5	-0.0375752	-0.6506028	0	5
chr9	75789940	75790247	Activity_Lost	1	-0.036973	-0.173483	0	1
chr8	57498920	57499544	Activity_Lost	8	-0.031517875	-0.185791875	0	8
