gene	chr	start	end	chromatin_state	is_polycomb_broad	is_polycomb_strict	h3k27me3_overlap	mc_diff	mc_sig	mc_hyper	mc_hypo	hmc_diff	hmc_sig	hmc_hyper	hmc_hypo	dmr_status
Fndc10	chr4	155694341	155696480	Active_Promoter	FALSE	FALSE	FALSE	0.030608755129959	FALSE	FALSE	FALSE	0.0174418604651163	FALSE	FALSE	FALSE	Not DMR
H2ac4	chr13	23751125	23751597	Other	FALSE	FALSE	FALSE	0.00217391304347826	FALSE	FALSE	FALSE	-0.0183740321620012	FALSE	FALSE	FALSE	Not DMR
Fam89b	chr19	5728086	5729652	Active_Promoter	FALSE	FALSE	FALSE	0.00951402851580577	FALSE	FALSE	FALSE	-0.00357795170805952	FALSE	FALSE	FALSE	Not DMR
H1f0	chr15	79028449	79030503	Active_Promoter	FALSE	FALSE	FALSE	0.00802950642197629	TRUE	TRUE	FALSE	-0.00027426287861098	FALSE	FALSE	FALSE	mC DMR only
Naa38	chr11	69395486	69396679	Active_Promoter	FALSE	FALSE	FALSE	0.00508794750766789	FALSE	FALSE	FALSE	-0.00925798392456816	TRUE	FALSE	TRUE	hmC DMR only
Ier3	chr17	35821683	35822922	Active_Promoter	FALSE	FALSE	FALSE	0.0015518671044234	FALSE	FALSE	FALSE	-0.0186089280527911	TRUE	FALSE	TRUE	hmC DMR only
Rraga	chr4	86575667	86577284	Active_Promoter	FALSE	FALSE	FALSE	0.00135315078267768	FALSE	FALSE	FALSE	-0.00621323008760372	TRUE	FALSE	TRUE	hmC DMR only
Cox6b2	chr7	4751791	4753093	Repressed_Promoter	TRUE	TRUE	TRUE	-0.0112269856735569	FALSE	FALSE	FALSE	-0.0276168548976562	FALSE	FALSE	FALSE	Not DMR
Spry2	chr14	105891946	105896818	Active_Promoter	FALSE	FALSE	FALSE	0.169619652521318	TRUE	TRUE	FALSE	0.0392053725932666	TRUE	TRUE	FALSE	Both mC+hmC DMR
Tlx2	chr6	83068323	83070292	Repressed_Promoter	TRUE	TRUE	TRUE	-0.108391201838782	TRUE	FALSE	TRUE	-0.0545506912442396	FALSE	FALSE	FALSE	mC DMR only
1700056E22Rik	chr1	184033029	184034300	Active_Promoter	FALSE	FALSE	FALSE	0.0216226180505799	FALSE	FALSE	FALSE	-0.0203827901599309	FALSE	FALSE	FALSE	Not DMR
Cited4	chr4	120666571	120667819	Other	FALSE	FALSE	FALSE	0.323698669751301	TRUE	TRUE	FALSE	0.170127241179873	FALSE	FALSE	FALSE	mC DMR only
Alyref2	chr1	171503477	171504749	Active_Promoter	FALSE	FALSE	FALSE	-0.00267827207368808	FALSE	FALSE	FALSE	-0.0156373340991135	TRUE	FALSE	TRUE	hmC DMR only
Fam181b	chr7	93079864	93081866	Active_Enhancer	FALSE	FALSE	FALSE	0.06306989315693	TRUE	TRUE	FALSE	-0.0565588152771245	TRUE	FALSE	TRUE	Both mC+hmC DMR
Gm12184	chr11	48825345	48826654	Other	FALSE	FALSE	FALSE	0.0619438894438895	FALSE	FALSE	FALSE	-0.189058025308025	TRUE	FALSE	TRUE	hmC DMR only
Cldn3	chr5	134986213	134987471	Repressed_Promoter	TRUE	TRUE	TRUE	0.018744077449011	FALSE	FALSE	FALSE	-0.0771818687497056	FALSE	FALSE	FALSE	Not DMR
Frat1	chr19	41829969	41832582	Active_Promoter	FALSE	FALSE	FALSE	0.103326641066874	TRUE	TRUE	FALSE	-0.0195419652773269	FALSE	FALSE	FALSE	mC DMR only
Gpr22	chr12	31706866	31713946	Active_Promoter	FALSE	FALSE	FALSE	0.164985186171975	TRUE	TRUE	FALSE	-0.0121353797916432	FALSE	FALSE	FALSE	mC DMR only
AL731706.2	chr2	136885499	136885678	Other	FALSE	FALSE	FALSE	0.148966165413534	FALSE	FALSE	FALSE	-0.093295739348371	FALSE	FALSE	FALSE	Not DMR
Zcchc3	chr2	152411954	152415026	Active_Promoter	FALSE	FALSE	FALSE	0.191499133233443	TRUE	TRUE	FALSE	0.0167460378184597	FALSE	FALSE	FALSE	mC DMR only
