PeakID (cmd=annotatePeaks.pl /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M1/tagdirs/tagdirs.25x50kb.PC1.txt mm10 -noblanks -bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M1/tagdirs/tagdirs.25x50kb.PC1.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M1/tagdirs/tagdirs.25x50kb.PC1.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph) (cmd=getDiffExpression.pl all_PC1.txt ctrl ctrl ctrl mut mut mut -pc1 -export regions)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M1/tagdirs/tagdirs.25x50kb.PC1.bedGraph bedGraph avg over given bp	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph bedGraph avg over given bp	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph bedGraph avg over given bp	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M1/tagdirs/tagdirs.25x50kb.PC1.bedGraph bedGraph avg over given bp	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph bedGraph avg over given bp	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph bedGraph avg over given bp	ctrl vs. mut Difference	ctrl vs. mut p-value	ctrl vs. mut adj. p-value
chr3-35050000	chr3	35050000	35075000	+	-0.301085334094144	NA	Intergenic	MLTR31F_MM|LTR|ERVK	-139849	NR_105799	102466155		NR_105799	ENSMUSG00000098862	Mir6378	Gm27706|mmu-mir-6378	microRNA 6378	ncRNA	-0.301	-0.354	-0.365	0.922	0.851	0.902	1.23166666666667	7.35593467643586e-10	9.74750226756007e-06
chr3-35075000	chr3	35075000	35100000	+	-0.314420036226562	NA	Intergenic	Intergenic	-164849	NR_105799	102466155		NR_105799	ENSMUSG00000098862	Mir6378	Gm27706|mmu-mir-6378	microRNA 6378	ncRNA	-0.314	-0.379	-0.362	0.777	0.722	0.762	1.10533333333333	8.5951361967458e-10	9.74750226756007e-06
chr1-3350000	chr1	3350000	3375000	+	-0.613874692449114	NA	intron (NM_001011874, intron 2 of 2)	intron (NM_001011874, intron 2 of 2)	308998	NM_001011874	497097		NM_001011874	ENSMUSG00000051951	Xkr4	Gm210|XRG4|mKIAA1889	X-linked Kx blood group related 4	protein-coding	-0.614	-0.600	-0.613	0.435	0.365	0.448	1.025	1.62784636035165e-09	9.74750226756007e-06
chr6-121450000	chr6	121450000	121475000	+	-0.144092719150443	NA	intron (NR_110358, intron 1 of 13)	G-rich|Low_complexity|Low_complexity	11178	NM_001033354	243621		NM_001033354	ENSMUSG00000040797	Iqsec3	BRAG3|mKIAA1110|synarfGEF	IQ motif and Sec7 domain 3	protein-coding	-0.144	-0.229	-0.154	0.928	0.872	0.884	1.07033333333333	3.04754426465989e-09	9.74750226756007e-06
chr13-72700000	chr13	72700000	72725000	+	-0.109104357226681	NA	Intergenic	Intergenic	83680	NM_010574	16372		NM_010574	ENSMUSG00000001504	Irx2	-	Iroquois homeobox 2	protein-coding	-0.109	-0.131	-0.123	0.977	0.871	0.942	1.051	3.49123811612186e-09	9.74750226756007e-06
chr13-72725000	chr13	72725000	72750000	+	0.142105171080591	NA	Intergenic	Intergenic	79263	NR_046196	78446		NR_046196	ENSMUSG00000113082	D730050B12Rik	-	RIKEN cDNA D730050B12 gene	ncRNA	0.142	0.055	0.053	1.141	1.101	1.111	1.03433333333333	3.81401872915331e-09	9.74750226756007e-06
chr8-17000000	chr8	17000000	17025000	+	-0.703391542815622	NA	intron (NM_053171, intron 3 of 69)	intron (NM_053171, intron 3 of 69)	522885	NM_053171	94109		NM_053171	ENSMUSG00000060924	Csmd1	B930082H09|mKIAA1890	CUB and Sushi multiple domains 1	protein-coding	-0.703	-0.672	-0.733	0.343	0.320	0.258	1.00966666666667	3.95353329766992e-09	9.74750226756007e-06
chr8-16950000	chr8	16950000	16975000	+	-0.861217239111934	NA	intron (NM_053171, intron 3 of 69)	intron (NM_053171, intron 3 of 69)	572885	NM_053171	94109		NM_053171	ENSMUSG00000060924	Csmd1	B930082H09|mKIAA1890	CUB and Sushi multiple domains 1	protein-coding	-0.861	-0.806	-0.818	0.234	0.163	0.150	1.01066666666667	3.98604327412079e-09	9.74750226756007e-06
chr3-35025000	chr3	35025000	35050000	+	-0.464006033516614	NA	Intergenic	Intergenic	-114849	NR_105799	102466155		NR_105799	ENSMUSG00000098862	Mir6378	Gm27706|mmu-mir-6378	microRNA 6378	ncRNA	-0.464	-0.438	-0.510	0.618	0.511	0.579	1.04	9.09467496452215e-09	1.00880572765102e-05
chr1-3375000	chr1	3375000	3400000	+	-0.462954184711766	NA	intron (NM_001011874, intron 2 of 2)	intron (NM_001011874, intron 2 of 2)	283998	NM_001011874	497097		NM_001011874	ENSMUSG00000051951	Xkr4	Gm210|XRG4|mKIAA1889	X-linked Kx blood group related 4	protein-coding	-0.463	-0.468	-0.498	0.569	0.462	0.564	1.008	9.51846972591826e-09	1.00880572765102e-05
chr13-72750000	chr13	72750000	72775000	+	-0.02292462679627	NA	Intergenic	Intergenic	54263	NR_046196	78446		NR_046196	ENSMUSG00000113082	D730050B12Rik	-	RIKEN cDNA D730050B12 gene	ncRNA	-0.023	-0.156	-0.079	1.096	1.025	1.084	1.15433333333333	1.11204444769448e-08	1.00880572765102e-05
chr2-70325000	chr2	70325000	70350000	+	-0.776481822208049	NA	intron (NM_177376, intron 30 of 34)	intron (NM_177376, intron 30 of 34)	-137423	NM_022435	64406		NM_022435	ENSMUSG00000075304	Sp5	-	trans-acting transcription factor 5	protein-coding	-0.776	-0.825	-0.809	0.267	0.244	0.372	1.09766666666667	1.1407693658944e-08	1.00880572765102e-05
chr6-36600000	chr6	36600000	36625000	+	-0.491444395776772	NA	Intergenic	Intergenic	190758	NR_030524	735279		NR_030524	ENSMUSG00000070075	Mir490	Mirn490|mir-490|mmu-mir-490	microRNA 490	ncRNA	-0.491	-0.507	-0.566	0.451	0.469	0.550	1.01133333333333	1.15803534967341e-08	1.00880572765102e-05
chr14-23850000	chr14	23850000	23875000	+	-0.0918819351127824	NA	intron (NM_010610, intron 1 of 28)	intron (NM_010610, intron 1 of 28)	141705	NM_001253358	16531		NM_010610	ENSMUSG00000063142	Kcnma1	5730414M22Rik|BKCA alpha|BKCa|KCa1.1|MaxiK|Slo|Slo1|k(VCA)alpha|mSlo|mSlo1|slo-alpha	potassium large conductance calcium-activated channel, subfamily M, alpha member 1	protein-coding	-0.092	-0.147	-0.158	0.852	0.855	0.952	1.01866666666667	1.20628513871756e-08	1.00880572765102e-05
chr8-16975000	chr8	16975000	17000000	+	-0.785425929087363	NA	intron (NM_053171, intron 3 of 69)	intron (NM_053171, intron 3 of 69)	547885	NM_053171	94109		NM_053171	ENSMUSG00000060924	Csmd1	B930082H09|mKIAA1890	CUB and Sushi multiple domains 1	protein-coding	-0.785	-0.700	-0.740	0.313	0.366	0.255	1.053	1.22125259261229e-08	1.00880572765102e-05
chr2-70400000	chr2	70400000	70425000	+	-0.683290542126211	NA	intron (NM_177376, intron 32 of 34)	intron (NM_177376, intron 32 of 34)	-62423	NM_022435	64406		NM_022435	ENSMUSG00000075304	Sp5	-	trans-acting transcription factor 5	protein-coding	-0.683	-0.733	-0.690	0.462	0.325	0.403	1.09866666666667	1.2434477387437e-08	1.00880572765102e-05
chr3-34950000	chr3	34950000	34975000	+	-0.128476315781322	NA	Intergenic	Intergenic	-39849	NR_105799	102466155		NR_105799	ENSMUSG00000098862	Mir6378	Gm27706|mmu-mir-6378	microRNA 6378	ncRNA	-0.128	-0.165	-0.213	0.900	0.804	0.898	1.036	1.31495189440931e-08	1.00880572765102e-05
chr1-3325000	chr1	3325000	3350000	+	-0.735117938299376	NA	intron (NM_001011874, intron 2 of 2)	L1_Mus3|LINE|L1	333998	NM_001011874	497097		NM_001011874	ENSMUSG00000051951	Xkr4	Gm210|XRG4|mKIAA1889	X-linked Kx blood group related 4	protein-coding	-0.735	-0.818	-0.751	0.274	0.181	0.270	1.00966666666667	1.45993187769904e-08	1.01155607934179e-05
chr2-70425000	chr2	70425000	70450000	+	-0.593011682122162	NA	Intergenic	Intergenic	-37423	NM_022435	64406		NM_022435	ENSMUSG00000075304	Sp5	-	trans-acting transcription factor 5	protein-coding	-0.593	-0.648	-0.586	0.528	0.399	0.447	1.067	1.4782758836255e-08	1.01155607934179e-05
chr9-41350000	chr9	41350000	41375000	+	-0.558624431079226	NA	Intergenic	Intergenic	-14026	NR_131928	73144		NM_001033153	ENSMUSG00000074415	Mir100hg	2610203C20Rik|3110039I08Rik|D230004N17Rik|D3Mgi9	Mir100 Mirlet7a-2 Mir125b-1 cluster host gene	ncRNA	-0.559	-0.620	-0.585	0.475	0.354	0.451	1.01466666666667	1.71301661402263e-08	1.04254591835058e-05
chr13-72775000	chr13	72775000	72800000	+	-0.268142963292429	NA	Intergenic	B2_Mm1a|SINE|B2	29263	NR_046196	78446		NR_046196	ENSMUSG00000113082	D730050B12Rik	-	RIKEN cDNA D730050B12 gene	ncRNA	-0.268	-0.354	-0.279	0.891	0.777	0.909	1.15933333333333	2.02252902332224e-08	1.07116588457877e-05
chr16-96925000	chr16	96925000	96950000	+	-0.085813356240216	NA	intron (NM_031174, intron 3 of 32)	intron (NM_031174, intron 3 of 32)	233235	NM_031174	13508		NM_031174	ENSMUSG00000050272	Dscam	4932410A21Rik	DS cell adhesion molecule	protein-coding	-0.086	-0.093	-0.071	0.985	0.869	1.010	1.038	2.16962604039524e-08	1.08701254955849e-05
chrX-146950000	chrX	146950000	146975000	+	-0.227624303293641	NA	promoter-TSS (NM_008312)	promoter-TSS (NM_008312)	-13	NM_008312	15560		NM_008312	ENSMUSG00000041380	Htr2c	5-HT-1C|5-HT-2C|5-HT1C|5-HT2C|5-HT2cR|5-HTR2C|5HT1c|Htr1c|SR1	5-hydroxytryptamine (serotonin) receptor 2C	protein-coding	-0.228	-0.217	-0.271	0.888	0.749	0.782	1.045	2.39964518634159e-08	1.12065385262319e-05
chr2-70350000	chr2	70350000	70375000	+	-0.77006687853906	NA	intron (NM_177376, intron 32 of 34)	intron (NM_177376, intron 32 of 34)	-112423	NM_022435	64406		NM_022435	ENSMUSG00000075304	Sp5	-	trans-acting transcription factor 5	protein-coding	-0.770	-0.822	-0.791	0.414	0.299	0.478	1.19133333333333	3.040585344956e-08	1.17495829672245e-05
chr13-72625000	chr13	72625000	72650000	+	-0.247196003804999	NA	Intergenic	Intergenic	8680	NM_010574	16372		NM_010574	ENSMUSG00000001504	Irx2	-	Iroquois homeobox 2	protein-coding	-0.247	-0.290	-0.295	0.804	0.657	0.756	1.01633333333333	3.22572766795436e-08	1.18591544833749e-05
chr6-35400000	chr6	35400000	35425000	+	-0.375423493329996	NA	Intergenic	Intergenic	81654	NR_040526	73409		NR_040526	ENSMUSG00000107341	1700065J11Rik	-	RIKEN cDNA 1700065J11 gene	ncRNA	-0.375	-0.370	-0.419	0.742	0.642	0.812	1.12	3.37900278632162e-08	1.18729922635095e-05
chr14-23750000	chr14	23750000	23775000	+	-0.193188410530445	NA	intron (NM_001253374, intron 1 of 28)	intron (NM_001253374, intron 1 of 28)	241705	NM_001253358	16531		NM_010610	ENSMUSG00000063142	Kcnma1	5730414M22Rik|BKCA alpha|BKCa|KCa1.1|MaxiK|Slo|Slo1|k(VCA)alpha|mSlo|mSlo1|slo-alpha	potassium large conductance calcium-activated channel, subfamily M, alpha member 1	protein-coding	-0.193	-0.309	-0.297	0.789	0.695	0.767	1.01666666666667	3.47953390753299e-08	1.19053935323044e-05
chr2-70375000	chr2	70375000	70400000	+	-0.745307188597467	NA	intron (NM_177376, intron 32 of 34)	intron (NM_177376, intron 32 of 34)	-87423	NM_022435	64406		NM_022435	ENSMUSG00000075304	Sp5	-	trans-acting transcription factor 5	protein-coding	-0.745	-0.806	-0.758	0.450	0.292	0.455	1.16866666666667	4.38463436920543e-08	1.26053393214801e-05
chr6-36625000	chr6	36625000	36650000	+	-0.421588382863812	NA	Intergenic	Intergenic	172679	NM_008973	19242		NM_008973	ENSMUSG00000029838	Ptn	HARP|HB-GAM|HBBM|HBBN|HBGF-8|HBNF|OSF|Osf-1|Osf1	pleiotrophin	protein-coding	-0.422	-0.449	-0.472	0.505	0.519	0.648	1.005	4.39824863038152e-08	1.26096455430423e-05
