#peakID	chr	start	end	strand	PC1
chr10-3075000	chr10	3075000	3100000	+	-0.492967748913342
chr10-3100000	chr10	3100000	3125000	+	-0.530993982465351
chr10-3125000	chr10	3125000	3150000	+	-0.305040990008649
chr10-3150000	chr10	3150000	3175000	+	0.0232902100697403
chr10-3175000	chr10	3175000	3200000	+	-0.024305792199308
chr10-3200000	chr10	3200000	3225000	+	-0.415613753748627
chr10-3225000	chr10	3225000	3250000	+	-0.37058540024554
chr10-3250000	chr10	3250000	3275000	+	-0.20679625602073
chr10-3275000	chr10	3275000	3300000	+	0.184893466563114
chr10-3300000	chr10	3300000	3325000	+	0.594157696233436
chr10-3325000	chr10	3325000	3350000	+	0.44460781033802
chr10-3350000	chr10	3350000	3375000	+	0.650682166623742
chr10-3375000	chr10	3375000	3400000	+	0.915130059113402
chr10-3400000	chr10	3400000	3425000	+	0.820833609247423
chr10-3425000	chr10	3425000	3450000	+	0.579538583223341
chr10-3450000	chr10	3450000	3475000	+	0.186964989986477
chr10-3475000	chr10	3475000	3500000	+	-0.217323876634041
chr10-3500000	chr10	3500000	3525000	+	-0.100871939278209
chr10-3525000	chr10	3525000	3550000	+	-0.0726843667471375
chr10-3550000	chr10	3550000	3575000	+	-0.458797405679416
chr10-3575000	chr10	3575000	3600000	+	-0.758966955885042
chr10-3600000	chr10	3600000	3625000	+	-0.801262579814179
chr10-3625000	chr10	3625000	3650000	+	-0.849347097804929
chr10-3650000	chr10	3650000	3675000	+	-0.836805323084996
chr10-3675000	chr10	3675000	3700000	+	-0.706195879682016
chr10-3700000	chr10	3700000	3725000	+	-0.574836670417203
chr10-3725000	chr10	3725000	3750000	+	-0.554712773530356
chr10-3750000	chr10	3750000	3775000	+	-0.676607382584894
chr10-3775000	chr10	3775000	3800000	+	-0.774356187441659
chr10-3800000	chr10	3800000	3825000	+	-0.742575610845682
chr10-3825000	chr10	3825000	3850000	+	-0.748559006033655
chr10-3850000	chr10	3850000	3875000	+	-0.697677548314248
chr10-3875000	chr10	3875000	3900000	+	-0.573404495521498
chr10-3900000	chr10	3900000	3925000	+	-0.426229380929592
chr10-3925000	chr10	3925000	3950000	+	0.0901068786297285
chr10-3950000	chr10	3950000	3975000	+	1.00101016131131
chr10-3975000	chr10	3975000	4000000	+	1.35255521910403
chr10-4000000	chr10	4000000	4025000	+	1.16967330359318
chr10-4025000	chr10	4025000	4050000	+	1.37070126042528
chr10-4050000	chr10	4050000	4075000	+	1.55927364096011
chr10-4075000	chr10	4075000	4100000	+	1.44432665294877
chr10-4100000	chr10	4100000	4125000	+	1.22613928019893
chr10-4125000	chr10	4125000	4150000	+	1.01106961521418
chr10-4150000	chr10	4150000	4175000	+	0.701057385247931
chr10-4175000	chr10	4175000	4200000	+	0.44189363247053
chr10-4200000	chr10	4200000	4225000	+	0.448632061617896
chr10-4225000	chr10	4225000	4250000	+	0.758370160491512
chr10-4250000	chr10	4250000	4275000	+	1.31124790319374
chr10-4275000	chr10	4275000	4300000	+	1.37094872949704
chr10-4300000	chr10	4300000	4325000	+	1.13110686522439
chr10-4325000	chr10	4325000	4350000	+	1.19938965352271
chr10-4350000	chr10	4350000	4375000	+	1.40076837297034
chr10-4375000	chr10	4375000	4400000	+	1.54825468869759
chr10-4400000	chr10	4400000	4425000	+	1.5246403212902
chr10-4425000	chr10	4425000	4450000	+	1.22199296871224
chr10-4450000	chr10	4450000	4475000	+	0.416531028530254
chr10-4475000	chr10	4475000	4500000	+	-0.202337714731536
chr10-4500000	chr10	4500000	4525000	+	-0.444316478916303
chr10-4525000	chr10	4525000	4550000	+	-0.520704948996197
chr10-4550000	chr10	4550000	4575000	+	-0.447362850012072
chr10-4575000	chr10	4575000	4600000	+	-0.45146727058786
chr10-4600000	chr10	4600000	4625000	+	-0.490358381891185
chr10-4625000	chr10	4625000	4650000	+	-0.457963916118646
chr10-4650000	chr10	4650000	4675000	+	-0.359856246074521
chr10-4675000	chr10	4675000	4700000	+	-0.24814503821812
chr10-4700000	chr10	4700000	4725000	+	-0.355340822268462
chr10-4725000	chr10	4725000	4750000	+	-0.506745976312929
chr10-4750000	chr10	4750000	4775000	+	-0.651514125963318
chr10-4775000	chr10	4775000	4800000	+	-0.693177343975805
chr10-4800000	chr10	4800000	4825000	+	-0.68682898621109
chr10-4825000	chr10	4825000	4850000	+	-0.639867416041861
chr10-4850000	chr10	4850000	4875000	+	-0.55423899395531
chr10-4875000	chr10	4875000	4900000	+	-0.46530953516405
chr10-4900000	chr10	4900000	4925000	+	-0.333127498106856
chr10-4925000	chr10	4925000	4950000	+	-0.156227103880171
chr10-4950000	chr10	4950000	4975000	+	0.0914747231056843
chr10-4975000	chr10	4975000	5000000	+	0.497059540836103
chr10-5000000	chr10	5000000	5025000	+	1.16843589420252
chr10-5025000	chr10	5025000	5050000	+	1.51563890955188
chr10-5050000	chr10	5050000	5075000	+	1.62593606850756
chr10-5075000	chr10	5075000	5100000	+	1.65119112183258
chr10-5100000	chr10	5100000	5125000	+	1.63818688287189
chr10-5125000	chr10	5125000	5150000	+	1.63516088448543
chr10-5150000	chr10	5150000	5175000	+	1.65524288797231
