loop_id	chr1	start1	end1	chr2	start2	end2	coord_string	shift_status	logFC	logCPM	F	PValue	FDR	significant	exploratory	category	direction	plot_color
loop_32	chr8	49530000	49540000	chr8	49820000	49830000	chr8:49530000-49540000_chr8:49820000-49830000	TRUE	-0.656745583497517	4.78133661017832	62.3306987422182	4.67667131200227e-06	0.0151096569131776	TRUE	TRUE	moderate_differential	down_in_mutant	#4575b4
loop_40	chr8	69420000	69430000	chr8	69500000	69510000	chr8:69420000-69430000_chr8:69500000-69510000	TRUE	0.59084196623847	7.67639541537817	46.5236508778638	1.97619803438116e-05	0.0248298304142024	TRUE	TRUE	moderate_differential	up_in_mutant	#d73027
loop_50	chr8	57320000	57330000	chr8	108690000	108700000	chr8:57320000-57330000_chr8:108690000-108700000	TRUE	-1.33604190757092	1.3847314904187	47.0677950939007	1.8714315499184e-05	0.0248298304142024	TRUE	TRUE	strong_differential	down_in_mutant	#4575b4
loop_51	chr8	89040000	89050000	chr8	92360000	92370000	chr8:89040000-89050000_chr8:92360000-92370000	TRUE	-1.12403274296586	1.62858593787916	34.1336119672901	8.36547740382862e-05	0.0444392019720638	TRUE	TRUE	strong_differential	down_in_mutant	#4575b4
loop_393	chr16	91220000	91230000	chr16	94080000	94090000	chr16:91220000-91230000_chr16:94080000-94090000	FALSE	-1.06974526123721	2.70701893798015	39.287983751968	4.39406581302765e-05	0.0326524999682443	TRUE	TRUE	strong_differential	down_in_mutant	#4575b4
loop_872	chr5	92720000	92730000	chr5	93320000	93330000	chr5:92720000-92730000_chr5:93320000-93330000	TRUE	-0.492017064937812	4.02331936639344	35.3625265096469	7.12508721898307e-05	0.0444392019720638	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_1233	chr9	40880000	40890000	chr9	41570000	41580000	chr9:40880000-40890000_chr9:41570000-41580000	FALSE	-0.746865476518875	3.8875052480666	42.4343810320678	3.06292591098245e-05	0.0288629718344913	TRUE	TRUE	moderate_differential	down_in_mutant	#4575b4
loop_1281	chr11	3530000	3540000	chr11	3880000	3890000	chr11:3530000-3540000_chr11:3880000-3890000	TRUE	-0.318068786933527	5.24089152906105	33.5459274456921	9.03874819028534e-05	0.0444392019720638	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_2388	chr8	34870000	34880000	chr8	35470000	35480000	chr8:34870000-34880000_chr8:35470000-35480000	FALSE	0.409405291407823	5.59657024642195	50.624935801225	1.31280553901219e-05	0.0203269185673291	TRUE	TRUE	weak_differential	up_in_mutant	#d73027
loop_2405	chr8	57540000	57550000	chr8	57960000	57970000	chr8:57540000-57550000_chr8:57960000-57970000	FALSE	-0.565817758552604	3.67227882091442	35.5201228157302	6.98271635628383e-05	0.0444392019720638	TRUE	TRUE	moderate_differential	down_in_mutant	#4575b4
loop_4173	chr5	15540000	15550000	chr5	15590000	15600000	chr5:15540000-15550000_chr5:15590000-15600000	FALSE	0.461058202285715	7.23115180012578	42.5873116604477	3.01120608974361e-05	0.0288629718344913	TRUE	TRUE	weak_differential	up_in_mutant	#d73027
loop_4400	chr8	71140000	71150000	chr8	71830000	71840000	chr8:71140000-71150000_chr8:71830000-71840000	FALSE	0.584956492162266	5.7390896144676	71.8803531538524	2.26249233725437e-06	0.0126927796230953	TRUE	TRUE	moderate_differential	up_in_mutant	#d73027
loop_4402	chr8	34850000	34860000	chr8	35460000	35470000	chr8:34850000-34860000_chr8:35460000-35470000	FALSE	0.440323437127408	5.42334474839126	68.9248416675221	2.80615042958421e-06	0.0126927796230953	TRUE	TRUE	weak_differential	up_in_mutant	#d73027
loop_4482	chr8	71210000	71220000	chr8	71780000	71790000	chr8:71210000-71220000_chr8:71780000-71790000	FALSE	1.49389800993366	4.73699026888783	187.579154298514	1.27632347145361e-08	0.000144326658151974	TRUE	TRUE	strong_differential	up_in_mutant	#d73027
loop_4806	chr9	9580000	9590000	chr9	10900000	10910000	chr9:9580000-9590000_chr9:10900000-10910000	TRUE	0.574031550928695	3.5814800518121	34.3622823584709	8.11283778438641e-05	0.0444392019720638	TRUE	TRUE	moderate_differential	up_in_mutant	#d73027
loop_5019	chr13	95060000	95070000	chr13	95280000	95290000	chr13:95060000-95070000_chr13:95280000-95290000	TRUE	0.318227551307897	5.3893581356578	31.6458835125574	0.000117179838144741	0.0494359323312639	TRUE	TRUE	weak_differential	up_in_mutant	#d73027
loop_6093	chr19	37560000	37570000	chr19	37930000	37940000	chr19:37560000-37570000_chr19:37930000-37940000	FALSE	0.39224856749302	4.9621329763762	32.3208029650683	0.000106716844578576	0.0473236893527269	TRUE	TRUE	weak_differential	up_in_mutant	#d73027
loop_7624	chr8	34820000	34830000	chr8	35460000	35470000	chr8:34820000-34830000_chr8:35460000-35470000	FALSE	0.571269203610204	4.70797537857336	58.2173685294507	6.58712081606681e-06	0.016552702708463	TRUE	TRUE	moderate_differential	up_in_mutant	#d73027
loop_7632	chr8	33210000	33220000	chr8	33700000	33710000	chr8:33210000-33220000_chr8:33700000-33710000	FALSE	0.34796930494036	5.33699554052002	33.7116077166898	8.84115355385361e-05	0.0444392019720638	TRUE	TRUE	weak_differential	up_in_mutant	#d73027
loop_8593	chr8	71130000	71140000	chr8	71850000	71860000	chr8:71130000-71140000_chr8:71850000-71860000	FALSE	0.508015631891346	5.43440002024566	40.0634727782096	4.01130530756493e-05	0.0323998860128173	TRUE	TRUE	moderate_differential	up_in_mutant	#d73027
loop_8619	chr8	71130000	71140000	chr8	71810000	71820000	chr8:71130000-71140000_chr8:71810000-71820000	TRUE	0.441799893714048	5.29608594182921	40.9303820620041	3.62927566758516e-05	0.0319275557108904	TRUE	TRUE	weak_differential	up_in_mutant	#d73027
loop_8871	chr8	34890000	34900000	chr8	35450000	35460000	chr8:34890000-34900000_chr8:35450000-35460000	FALSE	0.406241511655491	5.44713574998339	32.386738231868	0.000105754326393534	0.0473236893527269	TRUE	TRUE	weak_differential	up_in_mutant	#d73027
loop_8890	chr8	35490000	35500000	chr8	35850000	35860000	chr8:35490000-35500000_chr8:35850000-35860000	TRUE	0.370950717783946	4.89002528400047	32.6283815722762	0.000102313608610687	0.0472229504559039	TRUE	TRUE	weak_differential	up_in_mutant	#d73027
loop_8921	chr8	40180000	40190000	chr8	40380000	40390000	chr8:40180000-40190000_chr8:40380000-40390000	TRUE	0.387186708723159	5.79552440937429	53.1911199569557	1.03040207249788e-05	0.0194196443930101	TRUE	TRUE	weak_differential	up_in_mutant	#d73027
loop_8963	chr8	36530000	36540000	chr8	37060000	37070000	chr8:36530000-36540000_chr8:37060000-37070000	FALSE	0.456505787606731	4.79560527866509	43.4533423566978	2.73758406982206e-05	0.0288629718344913	TRUE	TRUE	weak_differential	up_in_mutant	#d73027
loop_8987	chr8	48220000	48230000	chr8	49820000	49830000	chr8:48220000-48230000_chr8:49820000-49830000	FALSE	-0.905794553208113	3.7898328490855	64.4401626922305	3.95267286242227e-06	0.0148989415760903	TRUE	TRUE	moderate_differential	down_in_mutant	#4575b4
loop_9034	chr8	33210000	33220000	chr8	33720000	33730000	chr8:33210000-33220000_chr8:33720000-33730000	FALSE	0.406877300227425	5.13902791147813	33.9255169947738	8.59347523958948e-05	0.0444392019720638	TRUE	TRUE	weak_differential	up_in_mutant	#d73027
loop_9944	chr9	40870000	40880000	chr9	41580000	41590000	chr9:40870000-40880000_chr9:41580000-41590000	FALSE	-0.617848969173026	3.94305515998173	38.5545390752718	4.79473186314921e-05	0.033886767442807	TRUE	TRUE	moderate_differential	down_in_mutant	#4575b4
loop_10530	chr11	57010000	57020000	chr11	57310000	57320000	chr11:57010000-57020000_chr11:57310000-57320000	TRUE	0.367447283615034	5.35303747346688	34.5489620943233	7.91658723100102e-05	0.0444392019720638	TRUE	TRUE	weak_differential	up_in_mutant	#d73027
loop_10730	chr13	9180000	9190000	chr13	9840000	9850000	chr13:9180000-9190000_chr13:9840000-9850000	FALSE	-0.402660339656195	4.98007848290458	42.6330679794921	2.99598405296893e-05	0.0288629718344913	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_12248	chr16	49010000	49020000	chr16	49320000	49330000	chr16:49010000-49020000_chr16:49320000-49330000	FALSE	0.565842434935131	4.36144638779271	54.5479206186549	9.10114008353855e-06	0.0194196443930101	TRUE	TRUE	moderate_differential	up_in_mutant	#d73027
loop_13109	chr1	79780000	79790000	chr1	80100000	80110000	chr1:79780000-79790000_chr1:80100000-80110000	TRUE	0.40082827244254	5.46560249102939	45.2164733681177	2.26535228483294e-05	0.0269648459335694	TRUE	TRUE	weak_differential	up_in_mutant	#d73027
loop_13891	chr19	43600000	43610000	chr19	44740000	44750000	chr19:43600000-43610000_chr19:44740000-44750000	TRUE	-0.484941491043093	4.19109883572729	36.3583813236168	6.27864109732705e-05	0.043029620320348	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_13910	chr19	43600000	43610000	chr19	45230000	45240000	chr19:43600000-43610000_chr19:45230000-45240000	TRUE	-0.527081353191979	3.91927613760015	39.1316108443972	4.47571409186228e-05	0.0326524999682443	TRUE	TRUE	moderate_differential	down_in_mutant	#4575b4
loop_13914	chr19	59170000	59180000	chr19	59460000	59470000	chr19:59170000-59180000_chr19:59460000-59470000	TRUE	-0.597747861137879	4.02120114575506	40.1456381518132	3.97326993250849e-05	0.0323998860128173	TRUE	TRUE	moderate_differential	down_in_mutant	#4575b4
loop_14667	chr2	147080000	147090000	chr2	148030000	148040000	chr2:147080000-147090000_chr2:148030000-148040000	FALSE	-0.447549295347278	4.17176590591727	33.8785590506081	8.6473449148429e-05	0.0444392019720638	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
