Chr	calder_bin_start	mean_ctrl_PC1	mean_mut_PC1	mean_Difference	n_25kb_bins	n_sig_bins	min_adj_pvalue	any_sig	dominant_homer_direction
chr1	2900001	-0.679	-0.701666666666667	-0.0226666666666665	1	0	0.342444016296045	FALSE	NA
chr1	3000001	-1.08658333333333	-1.08458333333333	0.00200000000000014	4	0	0.571192485769279	FALSE	NA
chr1	3100001	-1.10616666666667	-1.10216666666667	0.0040000000000001	4	0	0.0751039702500738	FALSE	NA
chr1	3200001	-0.962	-0.819666666666667	0.142333333333334	4	0	0.00165335916433939	FALSE	NA
chr1	3300001	-0.75925	-0.565833333333333	0.193416666666667	4	0	0.00248121159870258	FALSE	NA
chr1	3400001	-0.679833333333333	-0.477416666666667	0.202416666666667	4	0	0.00127953832919928	FALSE	NA
chr1	3500001	-0.636416666666667	-0.468166666666667	0.16825	4	0	0.00443286248013715	FALSE	NA
chr1	3600001	-0.770083333333333	-0.714666666666667	0.0554166666666667	4	0	0.0199788693437139	FALSE	NA
chr1	3700001	-1.13041666666667	-1.08441666666667	0.0460000000000002	4	0	0.184554265174984	FALSE	NA
chr1	3800001	-1.14616666666667	-1.104	0.0421666666666668	4	0	0.112012233889653	FALSE	NA
chr1	3900001	-1.13183333333334	-1.1185	0.0133333333333335	4	0	0.191517199885935	FALSE	NA
chr1	4000001	-1.11175	-1.06725	0.0445000000000002	4	0	0.0388020867055809	FALSE	NA
chr1	4100001	-1.08991666666667	-1.05275	0.0371666666666668	4	0	0.217948369329648	FALSE	NA
chr1	4200001	-1.06008333333333	-1.00558333333333	0.0545000000000002	4	0	0.0833626604326475	FALSE	NA
chr1	4300001	-1.05733333333334	-1.0145	0.0428333333333335	4	0	0.239620116562494	FALSE	NA
chr1	4400001	-1.00991666666667	-1.01933333333333	-0.00941666666666651	4	0	0.174058117964069	FALSE	NA
chr1	4500001	-0.954249999999999	-0.931416666666667	0.0228333333333334	4	0	0.165915488229404	FALSE	NA
chr1	4600001	-1.07183333333333	-1.08058333333334	-0.00874999999999986	4	0	0.658273634309437	FALSE	NA
chr1	4700001	-0.752083333333334	-0.851083333333333	-0.099	4	0	0.00495976421138088	FALSE	NA
chr1	4800001	-0.1275	-0.318416666666667	-0.190916666666667	4	0	0.0047714792175746	FALSE	NA
chr1	4900001	-0.645833333333333	-0.847083333333333	-0.20125	4	0	0.00172673606522285	FALSE	NA
chr1	5000001	-0.6215	-0.7445	-0.123	4	0	0.00721897732109122	FALSE	NA
chr1	5100001	-0.73125	-0.781333333333334	-0.0500833333333333	4	0	0.164665509593667	FALSE	NA
chr1	5200001	-1.13175	-1.09258333333333	0.0391666666666669	4	0	0.0418582020319126	FALSE	NA
chr1	5300001	-1.1025	-1.0165	0.0860000000000003	4	0	0.0198591242585725	FALSE	NA
chr1	5400001	-1.0875	-1.02233333333334	0.0651666666666668	4	0	0.0409031588761293	FALSE	NA
chr1	5500001	-1.13908333333333	-1.05741666666667	0.0816666666666669	4	0	0.0239078179998378	FALSE	NA
chr1	5600001	-1.13591666666667	-1.05516666666667	0.0807500000000003	4	0	0.0334430103679164	FALSE	NA
chr1	5700001	-1.10875	-1.02166666666667	0.0870833333333335	4	0	0.0327048242052815	FALSE	NA
chr1	5800001	-1.11075	-1.06291666666667	0.0478333333333335	4	0	0.0474604123211972	FALSE	NA
chr1	5900001	-1.16875	-1.12641666666666	0.0423333333333335	4	0	0.0424301883104703	FALSE	NA
chr1	6000001	-1.1595	-1.08091666666667	0.0785833333333335	4	0	0.0263595032058132	FALSE	NA
chr1	6100001	-1.08891666666667	-1.08558333333333	0.00333333333333345	4	0	0.0382354319368565	FALSE	NA
chr1	6200001	-0.312	-0.450416666666667	-0.138416666666667	4	0	0.0135312086877255	FALSE	NA
chr1	6300001	-0.764833333333333	-0.856333333333333	-0.0915	4	0	0.0145574381332527	FALSE	NA
chr1	6400001	-0.645916666666667	-0.689416666666666	-0.0434999999999998	4	0	0.0924080792831619	FALSE	NA
chr1	6500001	-0.66025	-0.682916666666667	-0.0226666666666666	4	0	0.512359999931301	FALSE	NA
chr1	6600001	-0.64525	-0.644333333333334	0.000916666666666749	4	0	0.278498335264422	FALSE	NA
chr1	6700001	0.201	0.0365	-0.1645	4	0	0.000907887677429802	FALSE	NA
chr1	6800001	-0.199916666666667	-0.377333333333333	-0.177416666666667	4	0	0.00638996816959893	FALSE	NA
chr1	6900001	-1.11466666666667	-1.18133333333333	-0.0666666666666666	4	0	0.062146779704192	FALSE	NA
chr1	7000001	-0.907666666666667	-1.02808333333333	-0.120416666666667	4	0	0.0201169168517908	FALSE	NA
chr1	7100001	-0.592666666666667	-0.71975	-0.127083333333333	4	0	0.0222299038062243	FALSE	NA
chr1	7200001	-1.14575	-1.12866666666667	0.0170833333333335	4	0	0.0619706645371286	FALSE	NA
