entrez_id	symbol	boundary_class	log2FoldChange	padj	chr	boundary_pos
497097	Xkr4	gained	0.573696911286475	0.00522588950563854	chr1	3670000
50785	Hs6st1	gained	-0.29451866132578	0.00173974987115286	chr1	36060000
93690	Gpr45	gained	0.631599065639341	4.43934169509875e-5	chr1	42960000
109019	Nabp1	lost	-0.748615424886668	1.22054514142839e-4	chr1	51470000
74018	Als2	lost	0.338893708680379	1.49168185273106e-5	chr1	59240000
14369	Fzd7	lost	-1.44574478475887	7.70518302045153e-22	chr1	59490000
12168	Bmpr2	gained	0.38120334990771	1.31547232557151e-9	chr1	59760000
19734	Rgs16	gained	1.72214295176702	5.13126551939707e-15	chr1	153750000
18214	Ddr2	lost	-0.481978737093667	0.0125594917377391	chr1	170120000
13800	Enah	gained	0.449156476228686	1.12399948314183e-8	chr1	182020000
11308	Abi1	gained	0.210346930659306	0.0105265285527844	chr2	23040000
20181	Rxra	gained	0.568014688178317	3.74602799303473e-4	chr2	27670000
110876	Scn2a	gained	0.27170744935676	0.0394068102159073	chr2	65620000
67445	C1qtnf4	gained	0.676151650445707	9.58647205009306e-9	chr2	90890000
68170	Iftap	lost	-0.608053371943071	1.33041182085249e-9	chr2	101650000
17754	Map1a	gained	0.235276983354733	0.00757015308772177	chr2	121290000
214968	Sema6d	gained	-0.316769536530068	0.0436310081540495	chr2	124090000
18803	Plcg1	gained	0.37756001925735	0.00125207932055987	chr2	160730000
16500	Kcnb1	lost	1.46912243187289	7.03727109436169e-21	chr2	167190000
108115	Slco4a1	gained	0.290003399448843	0.049264872700606	chr2	180450000
70441	Mir124-2hg	lost	-1.07571631299751	1.20482280005882e-34	chr3	17780000
635702	Naaladl2	gained	-0.455453985839119	0.00552153758616318	chr3	25140000
433586	Maml3	lost	-1.56629849656719	2.46993690355441e-18	chr3	52110000
242083	Ppm1l	lost	-0.52421858631338	1.39407605227421e-11	chr3	69310000
70762	Dclk2	lost	-0.497543812560727	4.75865357300251e-11	chr3	86920000
54524	Syt6	lost	-2.45305651548652	1.65344901791475e-16	chr3	103580000
56543	Kcnd3	lost	-0.618355874645037	1.60972454569011e-6	chr3	105450000
78635	Kcnd3os	lost	-0.636701384697412	0.00347214236188858	chr3	105450000
72023	Cyb561d1	gained	-0.380064111783389	0.030846710155831802	chr3	108210000
83398	Ndst3	lost	-0.644320279416156	3.4503901011647e-6	chr3	123690000
99167	Ssx2ip	lost	-0.431154404891235	1.62702289602312e-7	chr3	146400000
70143	2210414B05Rik	lost	-2.04769835638391	5.54832591365455e-9	chr4	3660000
17096	Lyn	lost	-1.05103419848863	1.31770532174937e-31	chr4	3670000
18201	Nsmaf	lost	-0.584155349592174	1.8837297045984e-17	chr4	6460000
100201	Tmem64	lost	-0.3285895849122	0.00246079727311188	chr4	15260000
230126	Shb	gained	2.17265362042404	1.33168033250557e-42	chr4	45540000
21812	Tgfbr1	gained	0.567854658774411	0.0077527779514548	chr4	47350000
56710	Brinp1	gained	-0.508185233023238	0.0131330841179428	chr4	68960000
77634	Snapc3	lost	-0.148953546747937	0.0382364428868053	chr4	83410000
16656	Hivep3	lost	-0.345468855751499	0.00157813325800121	chr4	119730000
230737	Gnl2	lost	0.266973498389684	0.0266267860891967	chr4	125020000
329942	Csmd2	gained	1.19799479135504	2.41505645132447e-34	chr4	127990000
17769	Mthfr	lost	-0.422315649175192	0.00767023634887062	chr4	148030000
214301	Crygn	gained	-1.46530344863916	0.0107307658130722	chr5	24760000
100532	Rell1	gained	-0.706867123644967	0.0247951593489655	chr5	63970000
12123	Hrk	gained	1.08821407478692	1.78366834487964e-18	chr5	118170000
76199	Med13l	gained	0.240794396532287	0.00346599974371693	chr5	118560000
208151	Tmem132b	gained	0.643301559419836	4.0569419484236e-5	chr5	125530000
72587	Pan3	gained	-0.228955578309086	0.0164159630038815	chr5	147430000
170676	Peg10	gained	-0.417456144091591	0.00172521818473971	chr6	4750000
69228	Zfp746	lost	-0.209058428911919	0.041137141970718	chr6	48090000
71720	Osbpl3	gained	-0.448864122702582	8.2522701617496e-5	chr6	50450000
20617	Snca	lost	-1.7597952738451	1.31549689981051e-9	chr6	60830000
243499	Lrrtm4	gained	1.46802752637398	1.55398741787991e-19	chr6	80010000
13656	Egr4	lost	-1.4110656827804	0.0476730576960919	chr6	85510000
269784	Cntn4	gained	-0.673074319390654	2.42162759694814e-4	chr6	105670000
16156	Il11	gained	-1.42702941776282	1.21470555893741e-10	chr7	4790000
664968	Tmem238	gained	-1.45204983462174	3.36199476810544e-20	chr7	4790000
78052	Tmem190	gained	-1.66416075715149	1.32065593651886e-12	chr7	4790000
21946	Pglyrp1	lost	-0.686252161914175	0.0341335537107199	chr7	18870000
233733	Galnt18	lost	-0.535790208686365	2.53331348428907e-4	chr7	111780000
71045	4933406I18Rik	gained	-0.409459744291298	0.0278707560248147	chr7	114410000
71910	Plpp5	lost	0.477199728008513	1.75482064233404e-5	chr8	25730000
244421	Lonrf1	lost	-0.343232520894462	0.0111550660710214	chr8	36250000
78651	Lsm6	gained	0.308038759419447	0.00668104087723542	chr8	78830000
17125	Smad1	gained	0.337958915094157	2.20811567045777e-4	chr8	79400000
21771	Utp4	gained	0.252315061107683	0.0334915725357839	chr8	106900000
234889	Gucy1a2	gained	0.306417448065582	0.03282092636487	chr9	3530000
75747	Sesn3	gained	0.401750206765096	2.58134683701719e-6	chr9	14270000
270120	Fat3	gained	1.27325307403536	9.03884265725195e-15	chr9	16500000
319845	Bbs9	lost	-0.80531012656197	2.82034994782346e-13	chr9	22480000
110637	Grik4	gained	0.487826782934688	1.28155176288748e-4	chr9	42950000
244867	Arhgap20	gained	0.263165670124422	0.00622482772856921	chr9	51760000
11920	Atm	gained	-0.238173236010017	0.0175427066163086	chr9	53530000
319477	Insyn1	lost	-0.376451982612911	0.00565041786228695	chr9	58480000
208117	Aph1b	lost	-0.42198942011379	0.00121247615938121	chr9	66790000
235442	Rab8b	gained	-0.524846046572086	5.07116609216469e-7	chr9	66910000
68861	Dipk2a	lost	-0.300666518968006	0.00363430553824467	chr9	94540000
81907	Tmem108	gained	0.33051996388086	0.0118331781810112	chr9	103760000
