gene	chr	start	end	gb_ctrl_signal	gb_mut_signal	gb_log2fc	gb_signal_class	mecp2_mean_fold	mecp2_nearest_fdr	mecp2_n_peaks	mc_ctrl	mc_mut	mc_diff	mc_q	mc_sig	hmc_ctrl	hmc_mut	hmc_diff	hmc_q	hmc_sig	chromatin_state	k27ac_fold	k27ac_fdr	k27me3_fold	k27me3_fdr	k119ub_fold	k119ub_fdr
Zglp1	chr9	21062393	21073096	0.420445	0.379367	-0.0956	quantifiable	NA	NA	NA	0.829326404071804	0.845709516285589	0.0163831122137843	0.107972906013893	FALSE	0.0866334069381247	0.0736653981233824	-0.0129680088147423	0.0808359809435657	FALSE	Other	NA	NA	NA	NA	NA	NA
Vmn2r65	chr7	84935565	84964115	0.11973	0.057344	NA	no_signal	NA	NA	NA	0.805436709376892	0.795590871848445	-0.00984583752844714	0.125289800159092	FALSE	0.0127234783743399	0.00732269176012348	-0.00540078661421638	0.000221221855302093	TRUE	Other	NA	NA	NA	NA	NA	NA
Krtap12-22	chr10	77711457	77712009	1.4783	1.160342	-0.29902	quantifiable	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F630206G17Rik	chr11	45808087	45841171	0.633325	0.486737	-0.271838	quantifiable	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Oog3	chr4	144157557	144162663	0.21453	0.180896	NA	no_signal	NA	NA	NA	0.598824817715498	0.617600595574198	0.0187757778586997	0.457369227102412	FALSE	0.00399394677882159	0.00501482885644376	0.00102088207762218	0.943511548813615	FALSE	Other	NA	NA	NA	NA	NA	NA
Ldlrap1	chr4	134741554	134768024	1.473393	1.382396	-0.079674	quantifiable	0.0566244176912909	0.925812031146359	10	0.51922802644422	0.60426012140829	0.0850320949640696	7.32750750456548e-65	TRUE	0.24852801359229	0.202799918502731	-0.0457280950895592	1.22401089636335e-26	TRUE	Active_Promoter	-0.537894368233169	0.000234446219887269	NA	NA	-0.475225950454762	0.00751493832739385
Mdn1	chr4	32657119	32775217	0.685011	0.46382	-0.404196	quantifiable	-0.0388105114652109	0.820028009401131	12	0.855476653154449	0.866658875695999	0.0111822225415502	3.31454067178915e-11	TRUE	0.0611693967635357	0.046228309048407	-0.0149410877151287	3.44891871016044e-45	TRUE	Active_Promoter	NA	NA	NA	NA	NA	NA
Ifi208	chr1	173673675	173698395	0.276089	0.184997	-0.29253	one_condition	NA	NA	NA	0.809555779063992	0.813509302024193	0.00395352296020057	0.57270111339657	FALSE	0.0243902727155038	0.0222574464870996	-0.00213282622840425	0.46000482193733	FALSE	Other	NA	NA	NA	NA	NA	NA
Wfdc17	chr11	83703991	83706268	0.996631	0.649386	-0.48471	quantifiable	NA	NA	NA	0.76053078324704	0.717680854621833	-0.042849928625207	0.109618630683841	FALSE	0.0297781178432527	0.0273486090125481	-0.00242950883070464	0.83240909205753	FALSE	Other	NA	NA	NA	NA	NA	NA
Mfap1b	chr2	121460235	121474067	0.279184	0.219202	-0.184595	one_condition	NA	NA	NA	0.675133365258652	0.709200802168466	0.0340674369098138	0.00261611279045	TRUE	0.14164954649484	0.117590762825391	-0.0240587836694495	0.00325235150001213	TRUE	Other	NA	NA	NA	NA	NA	NA
